,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
TSPAN32,-0.08538769811087114,0.0018942775216527236,0.014339152554343327,-0.1387038655395587,-0.03157799003386213
UBE2S,-0.08545200587232844,0.0018792709612810185,0.014282459305735741,-0.13876739910844282,-0.031642705739552746
NR1D1,-0.08604729697020724,0.00174544441925587,0.013415004906793598,-0.1393555027421899,-0.03224179455961353
PPIF,-0.08710928838915448,0.0015282150490200065,0.011949006556123508,-0.14040457844373153,-0.03331065708385441
AP1G2,-0.08851828561518027,0.001278323406499746,0.010291586747243717,-0.1417962550557402,-0.034728960523532734
ARHGEF19,-0.08895788086646453,0.0012084339003231347,0.009812070130828871,-0.1422304033216475,-0.035171503583184535
MYLPF,-0.09111890238309149,0.0009133298500607421,0.007611082083839518,-0.14436434980904922,-0.03734732310214668
BCAS2,-0.09181398882293984,0.0008336143754470685,0.006977389045592203,-0.14505062239186153,-0.03804727766197403
SLC9B2,-0.09186438601580058,0.0008280928090198133,0.006961842199724093,-0.14510037854510868,-0.038098029869004596
RP13-1032I1.7,-0.092242552852954,0.0007877288364576407,0.006681628523524631,-0.1454737266047715,-0.03847886948608808
FSTL1,-0.09478651048616385,0.0005601568646022817,0.004815828247711924,-0.14798487398390472,-0.04104121311827546
RAB13,-0.09551459402831017,0.0005073019942845483,0.004401250178724392,-0.14870344096418694,-0.0417746888922059
ING5,-0.09574997753713874,0.0004912330158188647,0.004281388669980931,-0.148935735831502,-0.04201182805669536
CLEC11A,-0.0971799121527329,0.00040336491576906824,0.0035616315860505176,-0.15034678107898547,-0.04345255825364775
SFXN2,-0.09729068358120195,0.0003972097641208235,0.003559898829384739,-0.15045608018292822,-0.04356417530028714
SLC35A3,-0.09774705434740741,0.0003727635125497949,0.0033726222564029063,-0.1509063713648675,-0.04402404410223604
ORC3,-0.09934267134913581,0.0002978931704189981,0.0027211395374812327,-0.1524805588343231,-0.045632070319566724
APOBEC3B,-0.10013379216353015,0.00026622565939077785,0.002469481188532027,-0.15326095473014548,-0.04642944695930552
AP4B1-AS1,-0.10021770572130478,0.00026305821988317833,0.0024621212698425557,-0.15334372681725278,-0.046514028082334694
WBP5,-0.10068493481241213,0.00024605747870403284,0.0023259164653615045,-0.15380458659048393,-0.04698498824508369
SNHG10,-0.10236896768133665,0.0001929443258140462,0.0018514859547812514,-0.1554654707949365,-0.048682667131855456
FAM184B,-0.10429369700798533,0.00014546699763394086,0.0014173707461768597,-0.15736337530388614,-0.050623372824209034
S100A3,-0.10430594923489622,0.00014520342854879562,0.0014173707461768597,-0.15737545551679885,-0.05063572805010268
TRMT6,-0.10472234504975013,0.0001365083224054203,0.0013508636071369717,-0.15778599593964363,-0.05105563408448501
C2CD2,-0.10593221886104962,0.00011394041797424438,0.0011701988873030504,-0.15897875233292091,-0.05227581481173367
ATF7IP2,-0.10599097296260389,0.00011293936687527473,0.0011662217231685978,-0.15903667123323711,-0.05233507351877721
