,mDC_corr,mDC_pval,mDC_qval,mDC_ci_low,mDC_ci_high
TMEM154,0.0346867994661988,0.07291012492669355,0.21922457335773468,-0.0032230067296320887,0.07249704720463654
MXD4,0.034623899286841085,0.07343169967500819,0.2202950990250246,-0.00328598187549245,0.07243440209545884
ALDH1A1,0.034521522816399045,0.07428713356876741,0.22097769782390878,-0.003388479718594598,0.07233244013986026
FRAT2,0.034520302384334865,0.0742973800875033,0.22097769782390878,-0.003389701592740337,0.07233122464446941
CDC42EP2,0.0345149517441205,0.07434231668161383,0.22097769782390878,-0.003395058554018555,0.07232589564638144
KLHL9,0.03439360898167496,0.07536736904679757,0.2236820540058625,-0.0035165440824803354,0.07220504310827308
SLC22A15,0.03423709033099251,0.07670656862880411,0.22730908352444087,-0.0036732452328089556,0.07204915515264987
RASAL3,0.03422071221004434,0.07684781600784826,0.22738050437688032,-0.0036896423429281402,0.07203284292090324
NCLN,0.03395691205378119,0.07915219466392245,0.23242724635805367,-0.003953745546669708,0.07177010124622311
PARP12,0.033828490818930114,0.08029414928084834,0.23506929676338859,-0.004082312394911619,0.07164219339433262
MX2,0.03379786974202482,0.0805684052536997,0.23551697981540828,-0.0041129680071857406,0.0716116945461017
RP11-701P16.2,0.03373472024894256,0.08113640082437146,0.2368206827069248,-0.0041761884971589685,0.0715487969005235
PPP2R5A,0.03370074452585941,0.08144333535453965,0.23735963051525746,-0.004210202292640921,0.0715149565521386
H1FX,0.03355292225939287,0.08278972925129977,0.24020159114614772,-0.004358189184167409,0.07136772226334165
ARRDC4,0.03343559747995018,0.08387112891672696,0.2429759122796523,-0.0044756434425776365,0.07125086298179925
NOD2,0.033356027709531444,0.0846110171032033,0.24463413834240866,-0.004555300430479,0.07117160832171522
HMOX1,0.03330805813286718,0.08505961096815136,0.24532051246535186,-0.0046033223547793664,0.07112382848234412
OAS1,0.033293915778322004,0.08519223128739713,0.24533845835139143,-0.004617480109040225,0.07110974203288205
TSPAN2,0.03314385086791592,0.08660978522093742,0.2483154994296005,-0.00476770748999734,0.07096026940364017
LRP3,0.03313013524779483,0.08674029039079403,0.24832286673824666,-0.004781437874239649,0.07094660783207658
CCR7,0.03309702996144999,0.0870559433752306,0.24885947877956197,-0.004814578737738346,0.07091363294386795
PADI2,0.03307726843485546,0.08724480714279605,0.24903260391789284,-0.004834361461697085,0.07089394921639001
TP53I11,0.032908402401075655,0.08887219218926123,0.2521943348528597,-0.005003407420815533,0.07072574678983214
AMFR,0.03285031601035276,0.08943759579878263,0.2534282824020979,-0.00506155520123975,0.07066788816902095
RP11-611L7.1,0.03274627065496249,0.09045759007128532,0.2544204501482471,-0.0051657098780304835,0.0705642501629319
SOD2,0.032708903981934524,0.0908261835376843,0.2547595697205856,-0.005203115611805322,0.07052702958537782
RP11-140K17.3,0.03261107383524783,0.09179692153420134,0.2567403814090559,-0.005301047521417689,0.0704295814342753
ZNF185,0.03255880592376138,0.09231896393159732,0.2574584899299287,-0.005353369503931253,0.07037751731649201
SLC25A53,0.032536634909329266,0.09254112244933005,0.2576425565910257,-0.005375563391522907,0.0703554326850805
GABBR1,0.03246891299099673,0.09322236840842804,0.2586818673225425,-0.005443354945212303,0.07028797439626892
LINC01001,0.03246213916505902,0.09329073010086542,0.2586818673225425,-0.0054501357171947646,0.07028122692061452
PIAS3,0.03237399649837341,0.09418393845576327,0.2602649159485227,-0.005538368449659497,0.07019342681470428
APCDD1,0.03228500835816014,0.0950926516618917,0.26218016601666444,-0.005627446920740663,0.07010478392670606
SLC16A5,0.03207108550111443,0.09730587559121864,0.2671438536386922,-0.0058415844667397175,0.06989168859424963
PCNX,0.032028707385914394,0.09774916048811778,0.2679818086263229,-0.005884004699191174,0.06984947400203662
NDST1,0.03200708179785339,0.09797598971716195,0.26822481811144055,-0.005905651727139522,0.06982793180769432
MSL1,0.031775894563163556,0.10042724066908332,0.27377707041950944,-0.006137065943498834,0.06959763388498467
C5AR2,0.03162365596546914,0.10206791102972967,0.2766952727775214,-0.006289451792931111,0.06944597870468584
DGAT2,0.031536017489227665,0.1030220127898582,0.27850379780656653,-0.006377174238292987,0.06935867528872085
KCTD2,0.03147097684221738,0.10373466757642782,0.2800403195630687,-0.006442276825522053,0.06929388293121647
CTD-2267D19.2,0.031426412354647534,0.10422521975003889,0.2809738215761465,-0.0064868835676840765,0.06924948838218663
PLEKHG3,0.03139404227425562,0.10458269274278571,0.2815464724185119,-0.006519284245728123,0.06921724164526104
DKFZP761J1410,0.03136861323055174,0.10486419543141598,0.28191330101437456,-0.006544737270273115,0.069191909441353
BRWD3,0.0313399469409057,0.10518225520594619,0.28198723391538894,-0.006573430534736642,0.06916335226121156
ANKRD13D,0.031031560506484313,0.1086524687408568,0.29088888527724555,-0.0068821032107091425,0.06885613568547867
ECE1,0.030884317537551192,0.11034098569610458,0.29459677198918705,-0.0070294803008979665,0.06870944874983315
PELI2,0.030603580118868726,0.1136176912318697,0.30168527863345973,-0.007310468874985605,0.06842976694732189
EXT1,0.03056273542598243,0.11410073807653291,0.30255400629310164,-0.007351349609745832,0.06838907534136573
