"","Sunitinib_5","Pazopanib_199","Axitinib_1021","Cabozantinib_249","Temsirolimus_1016"
"TCGA-AK-3445-01",15.0663874789782,20.0088482261997,8.41960732193311,12.5197586668245,0.0960218452523496
"TCGA-B0-4838-01",10.3684560082654,25.1660425225204,6.78277649159305,14.996000389569,0.101883600862284
"TCGA-CZ-5459-01",18.2725701588727,27.4985641634413,11.2567332811196,20.41193339556,0.200455488360388
"TCGA-B8-5165-01",11.0762015426688,21.7188032388664,6.19594088308172,15.5835768413949,0.191639977688583
"TCGA-B8-5158-01",12.4319386965815,32.0953219617658,8.99061654591164,15.98413275169,0.0822529704166116
"TCGA-A3-3362-01",16.5919403817448,27.8354673845855,9.04959901173586,18.7011365088183,0.183789092527445
"TCGA-CJ-4638-01",37.5607615418272,35.5757169911627,16.7923235536935,22.0471776941034,0.242723964983763
"TCGA-BP-4799-01",15.0484251164766,21.6071523155556,15.6182462326171,20.3367241790533,0.112595700985247
"TCGA-B0-4841-01",26.3022992232028,21.4000782701583,9.43904739811479,21.2373149548337,0.105922238563547
"TCGA-BP-4795-01",10.6915361031761,28.8044290487845,7.46645174966553,11.1441760113322,0.246533230222318
"TCGA-CJ-4923-01",18.8767493781596,25.06338580232,6.16667274225719,12.7397347560646,0.0934905479306011
"TCGA-CJ-4641-01",13.0908168065246,28.3252169132096,7.36410349848696,11.9217932527369,0.0789157025023616
"TCGA-CJ-4893-01",17.5662409360669,29.3346556845379,9.27822575975731,15.1282266364122,0.0781288821468161
"TCGA-BP-4976-01",14.6025026573227,29.5845782023491,8.07032607823355,19.4872316793592,0.194507136348614
"TCGA-BP-4341-01",21.7493306605195,25.1642252493392,9.94878360923773,20.9846312860475,0.193039581013259
"TCGA-DV-A4W0-01",17.3925847895754,22.9987315225841,10.0649520639894,24.5764391625353,0.248418621102443
"TCGA-BP-4166-01",16.0004320171442,22.8509337156169,6.4179074535092,18.547374110676,0.0872985184808208
"TCGA-B0-4813-01",26.0026168960587,27.7173471447181,7.31921824393692,18.5315396037284,0.137289780998981
"TCGA-B0-5098-01",26.3102746018471,40.1556833104759,5.90129672239029,21.9268557606326,0.307625352907902
"TCGA-CZ-5463-01",12.5135315479611,25.7091060574531,8.43827422829573,19.6247859321066,0.191084194059172
"TCGA-CZ-5457-01",14.5285000731717,28.1350261996677,7.87768897216464,16.4662109994256,0.091314096528032
"TCGA-CJ-5686-01",12.7806281541795,27.6123014439313,8.83628281849455,13.6902068525055,0.0921977398179632
"TCGA-CZ-4861-01",8.67288789992159,23.7776042848784,7.8812289514089,12.4586300167463,0.136745322275413
"TCGA-B0-4842-01",21.4740254749834,25.3157647593892,13.3473899039857,16.6144416554831,0.0984716982486115
"TCGA-CZ-5468-01",16.7167623050438,26.7992850778352,8.21314988638359,16.5052318481121,0.0945930647906504
"TCGA-B4-5844-01",11.29352214253,19.0874088130192,6.17075395683591,17.3383659926697,0.09461321048222
"TCGA-AK-3451-01",40.7520374434563,32.4646155332698,20.8071984559945,33.0828188750691,0.0840629343460157
"TCGA-CZ-4856-01",16.2179824880672,24.0685320157542,9.5075540590933,19.5485621502648,0.105214762281502
"TCGA-BP-4331-01",14.6472780419998,29.2727566502244,7.45968531243171,13.5499244494924,0.139827468351992
"TCGA-B0-5094-01",16.5442686560668,29.2607756086211,11.5954695675142,14.8286524310058,0.182773762576422
"TCGA-B0-4818-01",15.7584177232807,22.9130071444263,9.24716010008176,16.005505444281,0.112433193430547
"TCGA-MM-A84U-01",20.2832788236463,24.929822796981,12.9363474075236,16.5293266396275,0.18865165748045
